date,price
20180509	20180509,3066
20180510	20180510,3072
20180511	20180511,3080
20180514	20180514,3020.5
20180515	20180515,3060.5
20180516	20180516,3055
20180517	20180517,3053
20180518	20180518,3080.5
20180521	20180521,3098
20180522	20180522,3038.5
20180523	20180523,3006
20180524	20180524,3022
20180525	20180525,3048
20180529	20180529,3080
20180530	20180530,3107
20180531	20180531,3100
20180601	20180601,3089
20180604	20180604,3094
20180605	20180605,3175
20180606	20180606,3205
20180607	20180607,3215
20180608	20180608,3183.5
20180611	20180611,3221
20180612	20180612,3229
20180613	20180613,3228
20180614	20180614,3220
20180615	20180615,3189
20180618	20180618,3108
20180619	20180619,3044
20180620	20180620,3056
20180621	20180621,3021.5
20180622	20180622,2993
20180625	20180625,2954
20180626	20180626,2895
20180627	20180627,2921
20180628	20180628,2938
20180629	20180629,2948
20180702	20180702,2915
20180703	20180703,2883
20180704	20180704,2797
20180705	20180705,2758
20180706	20180706,2759
20180709	20180709,2719.5
20180710	20180710,2658
20180711	20180711,2574
20180712	20180712,2598
20180713	20180713,2607
20180716	20180716,2527
20180717	20180717,2548
20180718	20180718,2583
20180719	20180719,2563
20180720	20180720,2635
20180723	20180723,2618.5
20180724	20180724,2630
20180725	20180725,2655
20180726	20180726,2626
20180727	20180727,2618
20180730	20180730,2590
20180731	20180731,2630
20180801	20180801,2628
20180802	20180802,2617
20180803	20180803,2651
20180806	20180806,2586
20180807	20180807,2648
20180808	20180808,2656
20180809	20180809,2684.5
20180810	20180810,2552.5
20180813	20180813,2492.5
20180814	20180814,2458
20180815	20180815,2325
20180816	20180816,2338
20180817	20180817,2360
20180820	20180820,2382
20180821	20180821,2434
20180822	20180822,2439
20180823	20180823,2442
20180824	20180824,2508
20180828	20180828,2535
20180829	20180829,2506
20180830	20180830,2485
20180831	20180831,2504
20180903	20180903,2475
20180904	20180904,2435.5
20180905	20180905,2436.5
20180906	20180906,2470.5
20180907	20180907,2412
20180910	20180910,2406
20180911	20180911,2338.5
20180912	20180912,2355
20180913	20180913,2369
20180914	20180914,2327.5
20180917	20180917,2287
20180918	20180918,2347
20180919	20180919,2399
20180920	20180920,2436
20180921	20180921,2441
20180924	20180924,2531
20180925	20180925,2526.5
20180926	20180926,2546
20180927	20180927,2552
20180928	20180928,2573
20181001	20181001,2619
20181002	20181002,2693
20181003	20181003,2633
20181004	20181004,2696
20181005	20181005,2645
20181008	20181008,2649
20181009	20181009,2691.5
20181010	20181010,2697.5
20181011	20181011,2638
20181012	20181012,2677
20181015	20181015,2662
20181016	20181016,2630
20181017	20181017,2653
20181018	20181018,2687
20181019	20181019,2696
20181022	20181022,2724
20181023	20181023,2698
20181024	20181024,2740
20181025	20181025,2704
20181026	20181026,2686
20181029	20181029,2695
20181030	20181030,2649
20181031	20181031,2590
20181101	20181101,2585
20181102	20181102,2653.5
20181105	20181105,2550
20181106	20181106,2572
20181107	20181107,2522
20181108	20181108,2521.5
20181109	20181109,2556
20181112	20181112,2548
20181113	20181113,2587
20181114	20181114,2542
20181115	20181115,2655
20181116	20181116,2641
20181119	20181119,2691
20181120	20181120,2698
20181121	20181121,2670
20181122	20181122,2658
20181123	20181123,2630.5
20181126	20181126,2560
20181127	20181127,2506
20181128	20181128,2515
20181129	20181129,2553
20181130	20181130,2628.5
20181203	20181203,2675
20181204	20181204,2740
20181205	20181205,2705.5
20181206	20181206,2692
20181207	20181207,2709
20181210	20181210,2678
20181211	20181211,2675
20181212	20181212,2664
20181213	20181213,2685
20181214	20181214,2560
20181217	20181217,2580
20181218	20181218,2600
20181219	20181219,2596
20181220	20181220,2600
20181221	20181221,2585
20181224	20181224,2536
20181227	20181227,2553
20181228	20181228,2542.5
20181231	20181231,2510.5
20190102	20190102,2462
20190103	20190103,2480
20190104	20190104,2505
20190107	20190107,2535
20190108	20190108,2541
20190109	20190109,2532
20190110	20190110,2476
20190111	20190111,2470
20190114	20190114,2467.5
20190115	20190115,2472.5
20190116	20190116,2490
20190117	20190117,2502
20190118	20190118,2577
20190121	20190121,2569
20190122	20190122,2602
20190123	20190123,2607.5
20190124	20190124,2606
20190125	20190125,2635.5
20190128	20190128,2699.5
20190129	20190129,2680
20190130	20190130,2673
20190131	20190131,2719.5
20190201	20190201,2732.5
20190204	20190204,2785
20190205	20190205,2770
20190206	20190206,2719
20190207	20190207,2719
20190208	20190208,2688.5
20190211	20190211,2648
20190212	20190212,2640
20190213	20190213,2603.5
20190214	20190214,2635
20190215	20190215,2641
20190218	20190218,2632
20190219	20190219,2667
20190220	20190220,2711.5
20190221	20190221,2698
20190222	20190222,2718
20190225	20190225,2742
20190226	20190226,2741
20190227	20190227,2772
20190228	20190228,2794
20190301	20190301,2839.5
20190304	20190304,2788
20190305	20190305,2787
20190306	20190306,2801.5
20190307	20190307,2785.5
20190308	20190308,2706
20190311	20190311,2774
20190312	20190312,2857
20190313	20190313,2878
20190314	20190314,2878
20190315	20190315,2839
20190318	20190318,2840
20190319	20190319,2841
20190320	20190320,2876
20190321	20190321,2901.5
20190322	20190322,2865
20190325	20190325,2839
20190326	20190326,2905.5
20190327	20190327,2929
20190328	20190328,2949
20190329	20190329,3000
20190401	20190401,3018
20190402	20190402,2938
20190403	20190403,2975
20190404	20190404,2993
20190405	20190405,2969
20190408	20190408,2960
20190409	20190409,2936
20190410	20190410,2945
20190411	20190411,2980
20190412	20190412,3010
20190415	20190415,3000
20190416	20190416,2919.5
20190417	20190417,2927
20190418	20190418,2854
20190423	20190423,2882
20190424	20190424,2859
20190425	20190425,2870
20190426	20190426,2917
20190429	20190429,2888
20190430	20190430,2934.5
20190501	20190501,2906
20190502	20190502,2832
20190503	20190503,2867
20190507	20190507,2835
20190508	20190508,2764
20190509	20190509,2725
20190510	20190510,2751
20190513	20190513,2719.5
20190514	20190514,2715
20190515	20190515,2730
20190516	20190516,2781
20190517	20190517,2755
20190520	20190520,2705
20190521	20190521,2723
20190522	20190522,2713
20190523	20190523,2668
20190524	20190524,2705
20190528	20190528,2738
20190529	20190529,2680
20190530	20190530,2705
20190531	20190531,2685
20190603	20190603,2615.5
20190604	20190604,2636
20190605	20190605,2605.5
20190606	20190606,2637
20190607	20190607,2621
20190610	20190610,2620.5
20190611	20190611,2670
20190612	20190612,2640.5
20190613	20190613,2604
20190614	20190614,2575
20190617	20190617,2549
20190618	20190618,2589
20190619	20190619,2607.5
20190620	20190620,2586
20190621	20190621,2542.5
20190624	20190624,2578
20190625	20190625,2644
20190626	20190626,2623
20190627	20190627,2518
20190628	20190628,2580.5
20190701	20190701,2546
20190702	20190702,2491
20190703	20190703,2507
20190704	20190704,2440
20190705	20190705,2404
20190708	20190708,2392
20190709	20190709,2372
20190710	20190710,2381
20190711	20190711,2404
20190712	20190712,2426.5
20190715	20190715,2461
20190716	20190716,2463
20190717	20190717,2469.5
20190718	20190718,2477
20190719	20190719,2427
20190722	20190722,2398.5
20190723	20190723,2408
20190724	20190724,2456
20190725	20190725,2436
20190726	20190726,2423
20190729	20190729,2472
20190730	20190730,2474
20190731	20190731,2425.5
20190801	20190801,2396
20190802	20190802,2352
20190805	20190805,2321
20190806	20190806,2328
20190807	20190807,2258
20190808	20190808,2272
20190809	20190809,2262.5
20190812	20190812,2239
20190813	20190813,2263
20190814	20190814,2269
20190815	20190815,2262
20190816	20190816,2264.5
20190819	20190819,2238
20190820	20190820,2226
20190821	20190821,2257
20190822	20190822,2247
20190823	20190823,2261
20190827	20190827,2270
20190828	20190828,2261
20190829	20190829,2285
20190830	20190830,2246
20190902	20190902,2238.5
20190903	20190903,2211
20190904	20190904,2268
20190905	20190905,2351
20190906	20190906,2312
20190909	20190909,2311.5
20190910	20190910,2298
20190911	20190911,2364.5
20190912	20190912,2357
20190913	20190913,2382
20190916	20190916,2389
20190917	20190917,2344.5
20190918	20190918,2321
20190919	20190919,2299
20190920	20190920,2310
20190923	20190923,2302
20190924	20190924,2314
20190925	20190925,2288.5
20190926	20190926,2338
20190927	20190927,2336
20190930	20190930,2377
20191001	20191001,2380
20191002	20191002,2315.5
20191003	20191003,2324
20191004	20191004,2345
20191007	20191007,2327
20191008	20191008,2294.5
20191009	20191009,2322
20191010	20191010,2400
20191011	20191011,2440.5
20191014	20191014,2432
20191015	20191015,2436
20191016	20191016,2441
20191017	20191017,2457
20191018	20191018,2489
20191021	20191021,2500
20191022	20191022,2503
20191023	20191023,2510
20191024	20191024,2518.5
20191025	20191025,2544
20191028	20191028,2577
20191029	20191029,2586
20191030	20191030,2563.5
20191031	20191031,2543
20191101	20191101,2541
20191104	20191104,2586
20191105	20191105,2595
20191106	20191106,2528
20191107	20191107,2542
20191108	20191108,2507
20191111	20191111,2538
20191112	20191112,2542.5
20191113	20191113,2482
20191114	20191114,2458
20191115	20191115,2427
20191118	20191118,2384
20191119	20191119,2362
20191120	20191120,2360.5
20191121	20191121,2328
20191122	20191122,2315
20191125	20191125,2335
20191126	20191126,2301
20191127	20191127,2335
20191128	20191128,2312.5
20191129	20191129,2312.5
20191202	20191202,2285.5
20191203	20191203,2221.5
20191204	20191204,2256.5
20191205	20191205,2255
20191206	20191206,2250
20191209	20191209,2233
20191210	20191210,2222
20191211	20191211,2222
20191212	20191212,2229
20191213	20191213,2279
20191216	20191216,2269
20191217	20191217,2297
20191218	20191218,2307
20191219	20191219,2324
20191220	20191220,2341
20191223	20191223,2308
20191224	20191224,2277
20191227	20191227,2296
20191230	20191230,2315
20191231	20191231,2293
20200102	20200102,2299
20200103	20200103,2284
20200106	20200106,2335
20200107	20200107,2346
20200108	20200108,2406
20200109	20200109,2419
20200110	20200110,2382
20200113	20200113,2366.5
20200114	20200114,2364
20200115	20200115,2390
20200116	20200116,2438
20200117	20200117,2434
20200120	20200120,2461
20200121	20200121,2455
20200122	20200122,2466.5
20200123	20200123,2386
20200124	20200124,2354.5
20200127	20200127,2293
20200128	20200128,2270
20200129	20200129,2256
20200130	20200130,2235.5
20200131	20200131,2219
20200203	20200203,2200
20200204	20200204,2217.5
20200205	20200205,2222.5
20200206	20200206,2206
20200207	20200207,2152.5
20200210	20200210,2128
20200211	20200211,2145
20200212	20200212,2140
20200213	20200213,2157
20200214	20200214,2138
20200217	20200217,2153.5
20200218	20200218,2128
20200219	20200219,2126.5
20200220	20200220,2100
20200221	20200221,2086.5
20200224	20200224,2039
20200225	20200225,2038
20200226	20200226,2014
20200227	20200227,1999
20200228	20200228,2018.5
20200302	20200302,2009
20200303	20200303,1986
20200304	20200304,1964
20200305	20200305,2002
20200306	20200306,1978
20200309	20200309,1925.5
20200310	20200310,2000
20200311	20200311,1978.5
20200312	20200312,1927
20200313	20200313,1986.5
20200316	20200316,1932
20200317	20200317,1900
20200318	20200318,1820
20200319	20200319,1841
20200320	20200320,1880
20200323	20200323,1814
20200324	20200324,1822
20200325	20200325,1773.5
20200326	20200326,1831.5
20200327	20200327,1848.5
20200330	20200330,1837
20200331	20200331,1867.5
20200401	20200401,1843
20200402	20200402,1845
20200403	20200403,1862
20200406	20200406,1854.5
20200407	20200407,1932
20200408	20200408,1890
20200409	20200409,1884
20200414	20200414,1906
20200415	20200415,1908.5
20200416	20200416,1923.5
20200417	20200417,1933.5
20200420	20200420,1940.5
20200421	20200421,1876
20200422	20200422,1898
20200423	20200423,1855
20200424	20200424,1864
20200427	20200427,1891.5
20200428	20200428,1915
20200429	20200429,1930
20200430	20200430,1929.5
20200501	20200501,1899
20200504	20200504,1882
20200505	20200505,1897.5
20200506	20200506,1945.5
20200507	20200507,2000
20200511	20200511,1999
20200512	20200512,2018
20200513	20200513,1978
20200514	20200514,1939
20200515	20200515,1949
20200518	20200518,1997
20200519	20200519,2017
20200520	20200520,2021
20200521	20200521,1996.5
20200522	20200522,1963
20200526	20200526,1975
20200527	20200527,1938
20200528	20200528,1918.5
20200529	20200529,1971.5
20200601	20200601,1987.5
20200602	20200602,2025.5
20200603	20200603,2008.5
20200604	20200604,1998.5
20200605	20200605,2038.5
20200608	20200608,2009.5
20200609	20200609,2002
20200610	20200610,2001
20200611	20200611,2003.5
20200612	20200612,1991
20200615	20200615,1955.5
20200616	20200616,2007
20200617	20200617,2014
20200618	20200618,2037
20200619	20200619,2073
20200622	20200622,2070
20200623	20200623,2052
20200624	20200624,2014.5
20200625	20200625,2029
20200626	20200626,2057
20200629	20200629,2022.5
20200630	20200630,2056.5
20200701	20200701,2007.5
20200702	20200702,2035.5
20200703	20200703,2020
20200706	20200706,2037.5
20200707	20200707,2023.5
20200708	20200708,2094.5
20200709	20200709,2132.5
20200710	20200710,2145.5
20200713	20200713,2215.5
20200714	20200714,2187.5
20200715	20200715,2198.5
20200716	20200716,2188
20200717	20200717,2188
20200720	20200720,2171
20200721	20200721,2207.5
20200722	20200722,2202
20200723	20200723,2207
20200724	20200724,2193.5
20200727	20200727,2210.5
20200728	20200728,2206
20200729	20200729,2286
20200730	20200730,2275
20200731	20200731,2299
20200803	20200803,2286
20200804	20200804,2304
20200805	20200805,2370
20200806	20200806,2377.5
20200807	20200807,2393
20200810	20200810,2368.5
20200811	20200811,2371
20200812	20200812,2377
20200813	20200813,2362.5
20200814	20200814,2360
20200817	20200817,2403
20200818	20200818,2448.5
20200819	20200819,2468.5
20200820	20200820,2466.5
20200821	20200821,2450
20200824	20200824,2430
20200825	20200825,2462
20200826	20200826,2454
20200827	20200827,2455
20200828	20200828,2529.5
20200901	20200901,2554
20200902	20200902,2539
20200903	20200903,2487.5
20200904	20200904,2463.5
20200907	20200907,2456
20200908	20200908,2425.5
20200909	20200909,2386.5
20200910	20200910,2383
20200911	20200911,2428.5
20200914	20200914,2454.5
20200915	20200915,2503.5
20200916	20200916,2505
20200917	20200917,2466.5
20200918	20200918,2512
20200921	20200921,2482.5
20200922	20200922,2472
20200923	20200923,2422
20200924	20200924,2379.5
20200925	20200925,2365
20200928	20200928,2394
20200929	20200929,2418
20200930	20200930,2413
20201001	20201001,2365
20201002	20201002,2302
20201005	20201005,2298
20201006	20201006,2331
20201007	20201007,2357.5
20201008	20201008,2356
20201009	20201009,2415.5
20201012	20201012,2438.5
20201013	20201013,2428
20201014	20201014,2398
20201015	20201015,2397
20201016	20201016,2417
20201019	20201019,2472
20201020	20201020,2485
20201021	20201021,2547
20201022	20201022,2540
20201023	20201023,2565.5
20201026	20201026,2512.5
20201027	20201027,2538.5
20201028	20201028,2522.5
20201029	20201029,2503
20201030	20201030,2524.5
20201102	20201102,2526
20201103	20201103,2554.5
20201104	20201104,2547.5
20201105	20201105,2593.5
20201106	20201106,2614.5
20201109	20201109,2664.5
20201110	20201110,2617.5
20201111	20201111,2630.5
20201112	20201112,2593
20201113	20201113,2612.5
20201116	20201116,2653
20201117	20201117,2663.5
20201118	20201118,2732.5
20201119	20201119,2721
20201120	20201120,2787
20201123	20201123,2756
20201124	20201124,2745
20201125	20201125,2727.5
20201126	20201126,2754.5
20201127	20201127,2760
20201130	20201130,2809.5
20201201	20201201,2768.5
20201202	20201202,2725
20201203	20201203,2747
20201204	20201204,2748.5
20201207	20201207,2729
20201208	20201208,2762.5
20201209	20201209,2816
20201210	20201210,2810
20201211	20201211,2805.5
20201214	20201214,2795
20201215	20201215,2817
20201216	20201216,2818
20201217	20201217,2841.5
20201218	20201218,2835
20201221	20201221,2808
20201222	20201222,2789
20201223	20201223,2775
20201224	20201224,2817
20201229	20201229,2749.5
20201230	20201230,2749
20201231	20201231,2723.5
20210104	20210104,2775
20210105	20210105,2785
20210106	20210106,2833
20210107	20210107,2838
20210108	20210108,2824.5
20210111	20210111,2764.5
20210112	20210112,2771
20210113	20210113,2751.5
20210114	20210114,2716
20210115	20210115,2698.5
20210118	20210118,2664.5
20210119	20210119,2652
20210120	20210120,2684.5
20210121	20210121,2707.5
20210122	20210122,2651
20210125	20210125,2690.5
20210126	20210126,2651
20210127	20210127,2585
20210128	20210128,2546
20210129	20210129,2565
20210201	20210201,2548.5
20210202	20210202,2539
20210203	20210203,2585
20210204	20210204,2600
20210205	20210205,2636.5
20210208	20210208,2640.5
20210209	20210209,2662.5
20210210	20210210,2702
20210211	20210211,2726
20210212	20210212,2793.5
20210215	20210215,2813.5
20210216	20210216,2819
20210217	20210217,2810
20210218	20210218,2837
20210219	20210219,2864
20210222	20210222,2889.5
20210223	20210223,2859.5
20210224	20210224,2822.5
20210225	20210225,2894.5
20210226	20210226,2821
20210301	20210301,2788.5
20210302	20210302,2820
20210303	20210303,2786
20210304	20210304,2734.5
20210305	20210305,2746.5
20210308	20210308,2742.5
20210309	20210309,2735
20210310	20210310,2750
20210311	20210311,2784
20210312	20210312,2797.5
20210315	20210315,2815
20210316	20210316,2802.5
20210317	20210317,2807
20210318	20210318,2801.5
20210319	20210319,2787.5
20210322	20210322,2860.5
20210323	20210323,2841
20210324	20210324,2813.5
20210325	20210325,2759
20210326	20210326,2808
20210329	20210329,2811
20210330	20210330,2822
20210331	20210331,2795
20210401	20210401,2765.5
20210406	20210406,2813.5
20210407	20210407,2807
20210408	20210408,2827.5
20210409	20210409,2807
20210412	20210412,2759
20210413	20210413,2754.5
20210414	20210414,2789.5
20210415	20210415,2809.5
20210416	20210416,2853.5
20210419	20210419,2842
20210420	20210420,2825
20210421	20210421,2793.5
20210422	20210422,2805
20210423	20210423,2802.5
20210426	20210426,2862.5
20210427	20210427,2889
20210428	20210428,2909
20210429	20210429,2928
20210430	20210430,2904
20210504	20210504,2959.5
20210505	20210505,2935.5
20210506	20210506,2920
20210507	20210507,2973
20210510	20210510,3037.5
20210511	20210511,3004
20210512	20210512,2984.5
20210513	20210513,2891
20210514	20210514,2924
20210517	20210517,2954
20210518	20210518,3063.5
20210519	20210519,2969
20210520	20210520,2945.5
20210521	20210521,2981
20210524	20210524,2931
20210525	20210525,2945
20210526	20210526,2983.5
20210527	20210527,2994.5
20210528	20210528,3039.5
20210601	20210601,3043
20210602	20210602,3061.5
20210603	20210603,2977.5
20210604	20210604,2980
20210607	20210607,2963.5
