Date,Price
20200720,740000
20200727,730000
20200803,730000
20200810,730000
20200817,730000
20200824,730000
20200831,740000
20200907,740000
20200914,740000
20200921,750000
20200928,745000
20201005,745000
20201012,770000
20201019,760000
20201026,750000
20201102,750000
20201109,770000
20201116,750000
20201123,745000
20201130,745000
20201207,770000
20201214,765000
20201221,765000
20201228,800000
20210104,800000
20210111,830000
20210118,830000
20210125,880000
20210201,880000
20210208,900000
20210215,900000
20210222,890000
20210301,885000
20210308,885000
20210315,910000
20210322,900000
20210329,890000
20210405,885000
20210412,880000
20210419,880000
20210426,890000
20210503,960000
20210510,1010000
20210517,1020000
20210524,1100000
20210531,1150000
20210607,1250000
20210614,1250000
20210621,1270000
20210628,1270000
20210705,1270000
20210712,1270000
20210719,1250000
20210726,1250000
20210802,1250000
20210809,1300000
20210816,1280000
20210823,1270000
20210830,1270000
20210906,1330000
20210913,1300000
20210920,1280000
20210927,1280000
20211004,1280000
20211011,1250000
20211018,1250000
20211025,1250000
20211101,1250000
20211108,1250000
20211115,1250000
20211122,1250000
20211129,1250000
20211206,1245000
20211213,1245000
20211220,1245000
20211227,1245000
20220103,1245000
20220110,1245000
20220117,1245000
20220124,1245000
20220131,1245000
20220207,1265000
20220214,1285000
20220221,1285000
20220228,1285000
20220307,1340000
20220314,1340000
20220321,1340000
20220328,1340000
20220404,1380000
20220411,1380000
20220418,1420000
20220425,1420000
20220502,1420000
20220509,1410000
20220516,1410000
20220523,1400000
20220530,1390000
20220606,1380000
20220613,1380000
20220620,1360000
20220627,1360000
20220704,1350000
20220711,1320000
20220718,1315000
20220725,1290000
20220801,1290000
20220808,1230000
20220815,1230000
20220822,1220000
20220829,1200000
20220905,1200000
20220912,1240000
20220919,1200000
20220926,1290000
20221003,1290000
20221010,1280000
20221017,1270000
20221024,1265000
20221031,1265000
20221107,1320000
20221114,1310000
20221121,1290000
20221128,1280000
20221205,1270000
20221212,1270000
20221219,1260000
20221226,1260000
20230102,1260000
20230109,1260000
20230116,1270000
20230123,1260000
20230130,1260000
20230206,1270000
20230213,1265000
20230220,1265000
20230227,1270000
20230306,1275000
20230313,1275000
20230320,1275000
20230327,1275000
20230403,1275000
20230410,1250000
20230417,1250000
20230424,1250000
20230501,1250000
20230508,1245000
20230515,1245000
20230522,1245000
20230529,1245000
20230605,1245000
20230612,1245000
20230619,1245000
20230626,1235000
20230703,1235000
20230710,1235000
20230717,1235000
20230724,1205000
20230731,1205000
20230807,1190000
20230814,1180000
20230821,1170000
20230828,1170000
20230904,1170000
20230911,1170000
20230918,1170000
20230925,1180000
20231002,1180000
20231009,1180000
20231016,1180000
20231023,1190000
20231030,1190000
20231106,1190000
20231113,1170000
20231120,1165000
20231127,1165000
20231204,1165000
20231211,1165000
20231218,1165000
20231225,1165000
20240101,1130000
20240108,1115000
20240115,1115000
20240122,1115000
20240129,1115000
20240205,1115000
20240212,1115000
20240219,1115000
20240226,1115000
20240304,1115000
20240311,1115000
20240318,1120000
20240325,1100000
20240401,1100000
20240408,1100000
20240415,1100000
20240422,1090000
20240429,1070000
20240506,1070000
20240513,1060000
20240520,1050000
20240527,1060000
20240603,1060000
20240610,1060000
20240617,1060000
20240624,1060000
20240701,1060000
20240708,1060000
20240715,1060000
20240722,1060000
20240729,1070000
20240805,1070000
20240812,1070000
20240819,1070000
20240826,1090000
20240902,1090000
20240909,1110000
20240916,1110000
20240923,1110000
20240930,1110000
20241007,1110000
20241014,1110000
20241021,1110000
20241028,1090000
20241104,1090000
20241111,1080000
20241118,1080000
20241125,1080000
20241202,1070000
20241209,1060000
20241216,1050000
20241223,1040000
20241230,1040000
20250106,1040000
20250113,1030000
20250120,1040000
20250203,1030000
20250210,1040000
20250217,1040000
20250224,1030000
20250303,1010000
20250310,1010000
20250317,1050000
20250324,1040000
20250331,1080000
20250407,1080000
20250414,1070000
20250421,1060000
20250428,1050000
20250505,1050000
20250512,1080000
20250519,1070000
20250526,1060000
20250602,1050000
20250609,1050000
20250616,1040000
20250623,1030000
20250630,1020000
20250707,1030000
20250714,1030000
20250721,1020000
20250728,1010000
20250804,1000000
20250811,990000
20250818,990000
20250825,1040000
20250901,1040000
20250908,1090000
20250915,1090000
20250922,1080000
20250929,1070000
20251013,1070000
20251020,1070000
20251027,1060000
20251103,1060000
20251110,1100000
20251117,1080000
20251124,1060000
20251201,1050000
20251208,1040000
20251215,1030000
20251222,1030000
20251229,1030000
20260105,1030000
20260112,1030000
20260119,1030000
20260126,1080000
20260202,1080000
20260209,1080000
20260216,1070000
20260223,1070000
20260302,1090000
20260309,1090000
20260316,1100000
20260323,1100000
20260330,1090000
20260406,1080000
20260413,1080000
20260420,1080000
20260427,1100000
20260504,1100000
20260511,1140000
20260518,1140000
20260525,1140000
20260601,1140000
20260608,1170000
20260615,1170000
20260622,1170000
20260629,1200000
20260706,1200000
20260713,1190000
20260720,1180000
20260727,1170000
20260803,1200000
20260810,1200000
20260817,1200000
20260824,1190000
20260831,1190000
