date,price
20221104,23735
20221107,22950
20221108,23410
20221109,24095
20221110,24420
20221111,26025
20221114,27005
20221115,29600
20221116,28555
20221117,26070
20221118,24850
20221121,24450
20221122,25700
20221123,25900
20221124,26160
20221125,25600
20221128,25250
20221129,26255
20221130,26500
20221201,26950
20221202,27145
20221205,28365
20221206,28250
20221207,28725
20221208,31075
20221209,29850
20221212,29310
20221213,28800
20221214,27850
20221215,28625
20221216,28850
20221219,27525
20221220,28400
20221221,28175
20221222,28650
20221223,29600
20221228,30505
20221229,30000
20221230,30425
20230103,31200
20230104,29750
20230105,28775
20230106,27465
20230109,27485
20230110,27700
20230111,27575
20230112,26475
20230113,27175
20230116,27100
20230117,26750
20230118,27510
20230119,28175
20230120,28650
20230123,27650
20230124,28110
20230125,28755
20230126,28750
20230127,29065
20230130,29535
20230131,29400
20230201,30060
20230202,28735
20230203,29110
20230206,27450
20230207,26810
20230208,27300
20230209,27050
20230210,27710
20230213,26755
20230214,26900
20230215,25805
20230216,25860
20230217,25600
20230220,25955
20230221,26600
20230222,26225
20230223,25600
20230224,24850
20230227,24600
20230228,24820
20230301,25025
20230302,24160
20230303,24405
20230306,24450
20230307,23960
20230308,23500
20230309,23225
20230310,22675
20230313,22625
20230314,23255
20230315,22750
20230316,22650
20230317,23210
20230320,22675
20230321,22550
20230322,22300
20230323,21895
20230324,22795
20230327,23875
20230328,23600
20230329,24200
20230330,23185
20230331,23100
20230403,23560
20230404,22910
20230405,22710
20230406,22500
20230411,22850
20230412,22890
20230413,23210
20230414,24165
20230417,24455
20230418,24960
20230419,24465
20230420,25540
20230421,24335
20230424,24130
20230425,23865
20230426,23650
20230427,23655
20230428,23770
20230502,24235
20230503,25100
20230504,25100
20230505,23800
20230509,23930
20230510,23035
20230511,22250
20230512,22285
20230515,22200
20230516,21400
20230517,21320
20230518,21275
20230519,21465
20230522,21275
20230523,20760
20230524,20900
20230525,21125
20230526,21450
20230530,21235
20230531,20450
20230601,20850
20230602,21490
20230605,20610
20230606,21050
20230607,21005
20230608,21110
20230609,21390
20230612,21100
20230613,21250
20230614,22155
20230615,22725
20230616,23140
20230619,22465
20230620,21830
20230621,21350
20230622,21210
20230623,20895
20230626,20560
20230627,20335
20230628,19855
20230629,19745
20230630,20125
20230703,20160
20230704,20300
20230705,20175
20230706,21135
20230707,20370
20230710,20685
20230711,20460
20230712,20950
20230713,21150
20230714,21305
20230717,20710
20230718,20600
20230719,20700
20230720,21155
20230721,20810
20230724,20605
20230725,21350
20230726,21575
20230727,21395
20230728,21650
20230731,21625
20230801,22355
20230802,21700
20230803,21300
20230804,20980
20230807,21250
20230808,20650
20230809,20450
20230810,20225
20230811,20000
20230814,19825
20230815,19685
20230816,19850
20230817,19850
20230818,19925
20230821,20050
20230822,20215
20230823,20525
20230824,20400
20230825,20900
20230829,20355
20230830,20235
20230831,20225
20230901,20475
20230904,20550
20230905,20800
20230906,20550
20230907,20130
20230908,19905
20230911,20050
20230912,19830
20230913,19485
20230914,20255
20230915,19950
20230918,19745
20230919,19360
20230920,19635
20230921,18955
20230922,19050
20230925,18950
20230926,18675
20230927,18700
20230928,18650
20230929,18510
20231002,18510
20231003,18405
20231004,18600
20231005,18205
20231006,18280
20231009,18610
20231010,18260
20231011,18260
20231012,18435
20231013,18335
20231016,18460
20231017,18160
20231018,18470
20231019,18285
20231020,18350
20231023,18135
20231024,17800
20231025,18150
20231026,17900
20231027,18000
20231030,18180
20231031,17825
20231101,17750
20231102,17785
20231103,17810
20231106,17865
20231107,17585
20231108,17865
20231109,17650
20231110,17170
20231113,17000
20231114,17005
20231115,17155
20231116,16960
20231117,16780
20231120,16635
20231121,16560
20231122,16430
20231123,16280
20231124,15935
20231127,15885
20231128,16455
20231129,16660
20231130,16335
20231201,16655
20231204,16350
20231205,16060
20231206,16250
20231207,16000
20231208,16605
20231211,16305
20231212,16265
20231213,16100
20231214,16500
20231215,16740
20231218,16650
20231219,16460
20231220,16355
20231221,16670
20231222,16360
20231227,16355
20231228,16405
20231229,16300
20240102,16600
20240103,16210
20240104,16025
20240105,15705
20240108,15930
20240109,16150
20240110,15980
20240111,16250
20240112,16075
20240115,16200
20240116,15880
20240117,15765
20240118,15870
20240119,15935
20240122,15785
20240123,16010
20240124,16240
20240125,16360
20240126,16535
20240129,16285
20240130,16150
20240131,16070
20240201,15985
20240202,16125
20240205,15805
20240206,15620
20240207,15680
20240208,15755
20240209,15725
20240212,15755
20240213,15950
20240214,16115
20240215,16240
20240216,16090
20240219,16175
20240220,16135
20240221,16505
20240222,16985
20240223,17180
20240226,16985
20240227,17075
20240228,17140
20240229,17435
20240301,17175
20240304,17575
20240305,17600
20240306,17475
20240307,17660
20240308,17845
20240311,17910
20240312,18135
20240313,18165
20240314,17755
20240315,18000
20240318,17680
20240319,17500
20240320,17300
20240321,17430
20240322,17160
20240325,16865
20240326,16565
20240327,16330
20240328,16530
20240402,17000
20240403,16870
20240404,17230
20240405,17475
20240408,17700
20240409,17780
20240410,18585
20240411,17715
20240412,17780
20240415,17855
20240416,17625
20240417,17870
20240418,18210
20240419,19045
20240422,19015
20240423,18785
20240424,18985
20240425,18855
20240426,19180
20240429,19115
20240430,18975
20240501,18620
20240502,18405
20240503,18760
20240507,18755
20240508,18510
20240509,18625
20240510,18725
20240513,18910
20240514,18940
20240515,19050
20240516,19335
20240517,20735
20240520,21270
20240521,21275
20240522,20330
20240523,19800
20240524,19955
20240528,20065
20240529,20255
20240530,19770
20240531,19830
20240603,19325
20240604,18900
20240605,18340
20240606,18130
20240607,17950
20240610,17835
20240611,17650
20240612,17525
20240613,17550
20240614,17275
20240617,17080
20240618,16990
20240619,17025
20240620,17140
20240621,16935
20240624,16955
20240625,16855
20240626,16910
20240627,16835
20240628,16960
20240701,17220
20240702,17185
20240703,17110
20240704,16950
20240705,17175
20240708,17130
20240709,16980
20240710,16750
20240711,16630
20240712,16625
20240715,16420
20240716,16435
20240717,16370
20240718,16205
20240719,16105
20240722,15850
20240723,15765
20240724,15650
20240725,15470
20240726,15550
20240729,15585
20240730,15700
20240731,16255
20240801,15870
20240802,16155
20240805,15660
20240806,16095
20240807,16075
20240808,16000
20240809,16085
20240812,15930
20240813,15970
20240814,16035
20240815,16180
20240816,15905
20240819,16285
20240820,16600
20240821,16640
20240822,16330
20240823,16410
20240827,16835
20240828,16630
20240829,16735
20240830,16820
20240902,16445
20240903,16285
20240904,16030
20240905,15770
20240906,15830
20240909,15655
20240910,15610
20240911,15700
20240912,15875
20240913,15665
20240916,15950
20240917,15955
20240918,15975
20240919,16110
20240920,16175
20240923,16350
20240924,16430
20240925,16450
20240926,16555
20240927,16655
20240930,17005
20241001,17320
20241002,17730
20241003,17920
20241004,17600
20241007,17875
20241008,17420
20241009,17275
20241010,17150
20241011,17615
20241014,17335
20241015,17175
20241016,17070
20241017,16630
20241018,16780
20241021,16715
20241022,16310
20241023,15860
20241024,16035
20241025,15920
20241028,15810
20241029,15705
20241030,15725
20241031,15530
20241101,15840
20241104,15710
20241105,15965
20241106,15615
20241107,16260
20241108,16105
20241111,15910
20241112,15780
20241113,15555
20241114,15335
20241115,15500
20241118,15290
20241119,15630
20241120,15805
20241121,15705
20241122,15610
20241125,15810
20241126,15895
20241127,15675
20241128,15805
20241129,15745
20241202,15545
20241203,15720
20241204,15760
20241205,15775
20241206,15800
20241209,15710
20241210,15535
20241211,15580
20241212,15980
20241213,15810
20241216,15590
20241217,15380
20241218,15320
20241219,14965
20241220,14965
20241223,15200
20241224,15260
20241227,15085
20241230,15330
20241231,15100
20250102,15010
20250103,14770
20250106,15070
20250107,15120
20250108,15180
20250109,15185
20250110,15400
20250113,15560
20250114,15600
20250115,15630
20250116,15665
20250117,15840
20250120,15680
20250121,15850
20250122,15580
20250123,15510
20250124,15470
20250127,15505
20250128,15240
20250129,15230
20250130,15195
20250131,15040
20250203,14900
20250204,14895
20250205,15180
20250206,15525
20250207,15575
20250210,15400
20250211,15175
20250212,15200
20250213,15100
20250214,15360
20250217,15175
20250218,15135
20250219,15130
20250220,15405
20250221,15300
20250224,15335
20250225,15150
20250226,15450
20250227,15645
20250228,15460
20250303,15600
20250304,15760
20250305,15675
20250306,15990
20250307,16050
20250310,16420
20250311,16295
20250312,16460
20250313,16230
20250314,16450
20250317,16310
20250318,16060
20250319,16350
20250320,16010
20250321,15915
20250324,15895
20250325,15785
20250326,15975
20250327,16040
20250328,16160
20250331,15715
20250401,15850
20250402,15795
20250403,15650
20250404,15050
20250407,14360
20250408,14270
20250409,13815
20250410,14590
20250411,15015
20250414,15175
20250415,15360
20250416,15400
20250417,15425
20250422,15525
20250423,15550
20250424,15625
20250425,15530
